Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Mercedes-Benz GLC Coupe,Gri,2020,5.0,Hibrid,Automata,SUV,1991.0,211.0,4x4,8.5,5.5,46398
Volkswagen Golf,Alb,2013,5.0,Diesel,Manuala,Compact,1598.0,90.0,Fata,5.7,3.8,5999
Audi A4,Negru,2009,5.0,Benzina,Automata,Sedan,1798.0,160.0,Fata,9.6,6.3,5800
Renault Clio,Alb,2020,5.0,Benzina,Manuala,Compact,898.0,90.0,Fata,5.7,4.1,10490
Skoda Fabia,Rosu,2009,5.0,Benzina,Manuala,Compact,1198.0,60.0,Fata,7.5,4.7,2999
Nissan Qashqai,Alb,2020,5.0,Diesel,Automata,SUV,1461.0,115.0,Fata,4.2,3.6,15000
Volvo XC 60,Negru,2019,5.0,Hibrid,Automata,SUV,1969.0,303.0,4x4,7.3,6.6,34999
Ford Fiesta,Gri,2010,5.0,Diesel,Manuala,Compact,1560.0,95.0,Fata,4.7,3.6,3600
BMW Seria 5,Gri,2019,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.3,4.2,33915
BMW Seria 3,Negru,2017,5.0,Diesel,Automata,Sedan,1995.0,184.0,Spate,5.9,4.4,14900
BMW Seria 5,Gri,2018,5.0,Diesel,Automata,Sedan,2993.0,320.0,4x4,6.4,4.6,35700
Skoda Octavia,Albastru,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.6,3.5,22750
Audi A4,Negru,2019,5.0,Hibrid,Automata,Sedan,1984.0,190.0,Fata,7.4,4.8,14637
Nissan Qashqai,Alb,2012,5.0,Diesel,Manuala,SUV,1461.0,110.0,Fata,6.0,4.5,6500
Nissan Qashqai,Rosu,2014,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.6,4.6,10990
Ford Fiesta,Gri,2015,5.0,Diesel,Manuala,Compact,1498.0,75.0,Fata,4.3,3.2,6190
Skoda Scala,Alb,2020,5.0,Diesel,Manuala,Compact,1598.0,115.0,Fata,4.8,3.6,9990
Mercedes-Benz GLC,Maro,2018,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.8,5.4,23899
Volkswagen Golf,Gri,2020,5.0,Benzina,Manuala,Compact,999.0,115.0,Fata,5.4,4.4,10990
