Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
2019,5.0,3,1,2,1461.0,75.0,2,6.8,3.2,7390
2022,6.0,0,0,7,2998.0,333.0,0,10.0,7.3,78899
2018,5.0,0,1,2,999.0,75.0,2,6.5,4.5,7991
2011,5.0,3,0,8,2967.0,245.0,0,7.2,5.3,29500
2019,5.0,0,0,8,1984.0,245.0,0,8.4,5.2,29000
2020,4.0,0,0,3,1998.0,192.0,2,6.8,4.4,23400
2018,5.0,0,1,5,1368.0,100.0,2,7.3,5.3,10300
2020,5.0,5,0,7,1984.0,252.0,0,5.4,4.8,23498
2019,5.0,3,1,7,1598.0,116.0,2,5.0,4.3,16000
2020,5.0,3,0,7,1968.0,150.0,2,5.4,4.3,21896
2010,5.0,3,0,4,1995.0,177.0,3,7.7,4.7,7800
2020,5.0,3,1,7,1999.0,163.0,3,5.8,4.2,20398
2019,5.0,3,1,1,1499.0,120.0,2,4.4,3.3,10950
2020,5.0,3,0,8,1997.0,190.0,2,5.3,4.4,21290
2017,5.0,3,0,7,1598.0,130.0,2,6.0,4.9,13290
2020,5.0,3,1,7,1969.0,150.0,2,5.8,4.8,22499
2016,5.0,0,1,7,1598.0,115.0,2,8.4,5.4,9990
2009,5.0,3,1,7,1997.0,136.0,0,8.1,5.4,5650
2012,5.0,3,0,7,2967.0,211.0,0,8.4,6.5,17700
2011,5.0,3,0,7,2143.0,204.0,0,4.3,3.3,10950
2019,5.0,0,0,1,1199.0,130.0,2,6.3,4.9,10290
2019,5.0,3,0,7,1968.0,150.0,0,6.1,4.4,23990
2020,7.0,3,1,6,1750.0,150.0,2,5.8,4.2,11299
2021,5.0,3,0,7,1968.0,150.0,2,5.4,4.0,20825
2018,5.0,3,0,7,1995.0,190.0,0,6.1,5.3,28449
2021,5.0,3,0,7,1968.0,200.0,0,6.6,4.6,25250
2015,5.0,3,1,2,1969.0,120.0,2,5.7,4.0,7300
2014,5.0,3,0,7,1968.0,177.0,0,6.6,5.5,12490
2011,5.0,3,0,7,1968.0,177.0,0,7.0,5.3,13490
2015,7.0,3,1,6,1686.0,125.0,2,6.1,4.5,6490
2020,5.0,0,1,8,999.0,110.0,2,4.4,3.2,16449
2016,5.0,3,0,8,1968.0,184.0,2,5.9,4.5,12000
2019,5.0,3,1,2,1598.0,115.0,2,4.4,3.6,11300
2020,5.0,3,0,7,1950.0,245.0,0,6.8,5.0,58200
2020,5.0,3,0,8,1995.0,150.0,3,5.9,4.1,27990
2017,5.0,3,0,8,1598.0,136.0,2,6.5,4.2,6998
2023,5.0,0,0,7,1332.0,158.0,0,7.3,5.5,25900
2012,5.0,3,0,1,1968.0,140.0,2,6.4,4.6,8500
2007,7.0,3,0,7,2488.0,171.0,0,12.9,9.1,7399
2021,3.0,3,1,6,1461.0,80.0,2,5.1,4.3,9489
2019,4.0,3,0,3,1950.0,245.0,3,6.0,3.9,35900
2017,5.0,3,0,1,1598.0,130.0,2,4.8,3.9,8999
2017,5.0,0,1,2,999.0,125.0,2,5.9,4.2,6200
2017,5.0,3,0,8,2925.0,286.0,0,8.0,5.0,40950
2020,5.0,0,1,2,999.0,95.0,2,5.8,3.9,10990
2021,5.0,3,0,7,2925.0,285.0,0,10.4,8.3,106000
2012,5.0,0,0,7,5000.0,510.0,0,22.6,10.4,52900
2019,5.0,3,0,7,1968.0,150.0,2,6.8,5.3,23950
2019,5.0,3,1,4,1461.0,75.0,2,6.7,5.0,6990
2015,5.0,0,1,8,899.0,90.0,2,6.6,4.6,5990
2015,5.0,3,0,7,2967.0,262.0,0,7.9,6.2,21990
2017,5.0,3,0,7,1968.0,150.0,0,6.1,4.5,19499
2009,5.0,0,0,2,1390.0,160.0,2,8.4,5.3,8499
2016,2.0,3,0,7,1969.0,225.0,0,5.8,4.7,23990
2020,5.0,3,0,7,1968.0,190.0,0,5.8,5.0,33950
2017,2.0,3,1,6,1461.0,75.0,2,4.4,4.1,7490
2019,5.0,3,1,1,1461.0,95.0,2,4.2,3.7,7790
2012,5.0,3,0,8,1968.0,177.0,2,6.0,4.4,12490
2019,5.0,3,1,7,1499.0,100.0,2,4.6,4.0,10950
2018,5.0,0,0,8,1998.0,184.0,3,7.1,5.0,19400
2019,5.0,0,0,8,1332.0,140.0,2,4.0,4.6,13690
2018,5.0,3,0,7,1968.0,150.0,2,5.4,4.6,20990
2020,5.0,3,0,7,2967.0,231.0,0,7.7,5.9,38989
2021,5.0,0,1,2,1498.0,110.0,2,4.7,3.6,14448
2015,5.0,3,1,2,1598.0,110.0,2,4.5,3.4,9350
2009,5.0,3,1,2,1968.0,110.0,2,6.6,4.7,7499
2021,5.0,0,0,8,3996.0,600.0,0,4.9,3.9,89964
2017,5.0,3,1,7,1560.0,114.0,0,5.6,4.7,11990
2019,5.0,0,1,7,999.0,125.0,2,6.2,4.6,9300
2016,5.0,3,0,4,2143.0,177.0,1,5.8,4.5,13790
2019,5.0,3,0,7,2993.0,265.0,0,6.8,5.6,53939
2017,5.0,0,0,7,1984.0,180.0,1,9.0,6.3,17990
2022,5.0,3,0,8,1968.0,204.0,2,4.8,4.0,38179
2018,7.0,3,0,7,2987.0,258.0,0,9.1,7.3,35900
2016,5.0,3,0,2,1598.0,110.0,2,4.5,3.6,10990
2014,5.0,4,0,1,1798.0,99.0,2,3.6,3.6,11990
2022,5.0,0,0,2,1199.0,130.0,2,5.8,4.3,18490
2008,5.0,3,0,2,1968.0,140.0,2,6.7,4.5,3999
2012,7.0,3,0,7,2179.0,156.0,0,9.3,6.0,8000
2011,5.0,0,1,2,1396.0,90.0,2,7.0,5.0,5990
2017,4.0,0,0,3,2997.0,405.0,0,13.1,6.8,27000
2019,5.0,2,1,7,1598.0,114.0,2,7.7,5.6,12490
2021,5.0,3,0,7,1598.0,136.0,0,6.6,5.8,19989
2015,5.0,3,1,7,1598.0,130.0,2,5.8,4.6,11990
2010,5.0,3,1,2,1968.0,140.0,2,5.5,3.8,7200
2004,6.0,3,1,6,1968.0,140.0,2,7.6,5.2,2750
2020,5.0,0,0,2,1498.0,150.0,2,4.3,4.1,15498
2019,5.0,3,0,7,1996.0,238.0,0,8.5,5.7,27991
2020,5.0,3,0,7,1995.0,150.0,0,5.1,4.6,21890
2012,5.0,3,1,8,1798.0,150.0,2,7.0,4.8,4900
2013,5.0,3,1,7,1461.0,110.0,0,5.7,5.0,7990
2024,5.0,3,0,7,1968.0,193.0,0,6.3,4.7,51981
2013,5.0,3,0,2,1968.0,177.0,2,5.7,4.4,11500
2014,5.0,0,1,2,1362.0,120.0,2,7.9,4.7,4500
2019,5.0,0,0,7,2998.0,360.0,0,11.3,7.7,39900
2015,5.0,3,0,7,2967.0,258.0,0,6.9,5.9,23900
2021,5.0,4,0,7,1598.0,230.0,2,5.3,4.7,28490
2015,5.0,3,1,1,1199.0,75.0,2,4.1,3.0,5000
2011,5.0,3,0,8,2143.0,170.0,3,5.4,3.7,4150
2022,5.0,0,1,7,999.0,125.0,2,6.2,4.6,20961
2011,5.0,3,1,1,1968.0,140.0,2,5.8,4.0,7699
2024,5.0,3,0,8,2993.0,300.0,0,6.5,4.5,124900
2019,9.0,3,1,6,1997.0,150.0,1,5.9,4.9,21990
2021,5.0,2,1,8,999.0,100.0,2,6.5,4.3,10490
2017,5.0,3,0,7,2143.0,204.0,0,6.9,5.4,24900
2021,7.0,0,0,7,2995.0,340.0,0,10.9,7.4,43990
2022,5.0,0,0,7,2998.0,333.0,0,9.5,6.7,52900
2008,5.0,0,1,7,1997.0,140.0,0,10.4,6.3,3999
2011,5.0,3,0,8,1995.0,184.0,3,7.1,4.7,6999
2019,5.0,0,1,6,1598.0,102.0,2,8.3,6.0,13890
